SuperUserName,CustID,"GROUP_CONCAT(CategorySports SEPARATOR ', ')"
ACE,22932126,"High Risk Punter(Parlay)"
ACE,22932845,"High Risk Punter(Parlay)"
ACE,22932929,"High Risk Punter(Basketball)"
ACE,22932965,"Smart Punter(Basketball)"
ACE,23273247,VIP(Soccer)
ACE,23367350,VIP(Soccer)
ACE,24626211,"VIP(Soccer, Non-Sports)"
ACE,26103912,VIP(Soccer)
ACE,28093816,VIP(Non-Sports)
ACE,32574035,"Normal Member(Parlay), VIP(Soccer)"
ACE,33206637,VIP(Soccer)
ACE,36550998,"Normal Member(Soccer, Parlay)"
ACE,36599384,"Normal Member(Soccer), High Risk Punter(Non-Sports)"
ACE,37698462,"High Risk Punter(Soccer)"
ACE,38042518,"Normal Member(Non-Sports), VIP(Soccer)"
ACE,38109846,"Normal Member(Non-Sports, Parlay), VIP(Soccer)"
ACE,38157679,"Normal Member(Other-Sports, Non-Sports), High Risk Punter(Soccer, Basketball)"
ACE,39078964,VIP(Soccer)
ACE,39393698,VIP(Soccer)
ACE,39438402,"Normal Member(Soccer, Basketball, Other-Sports)"
ACE,39471351,"Normal Member(Non-Sports), High Risk Punter(Soccer, Other-Sports)"
ACE,39490575,VIP(Soccer)
ACE,39556556,NULL
ACE,39932345,"High Risk Punter(Soccer)"
ACE,39965475,"Normal Member(Soccer)"
ACE,40059418,VIP(Soccer)
ACE,40183238,VIP(Soccer)
ACE,40183287,"Normal Member(Soccer)"
ACE,40201375,"VIP(Soccer, Non-Sports)"
ACE,40354292,"Normal Member(Basketball, Parlay), VIP(Soccer)"
ACE,41022887,NULL
ACE,41067048,"High Risk Punter(Other-Sports, Non-Sports)"
ACE,41067092,"High Risk Punter(Basketball)"
ACE,41136512,"VIP(Soccer, Basketball)"
ACE,41323993,VIP(Basketball)
ACE,41344263,"High Risk Punter(Soccer)"
ACE,41477869,VIP(Soccer)
ACE,41498011,"Normal Member(Soccer)"
ACE,41514459,NULL
ACE,41514545,VIP(Soccer)
ACE,41518786,"Normal Member(Non-Sports)"
ACE,41539070,"High Risk Punter(Soccer)"
ACE,41563535,VIP(Soccer)
ACE,41579181,"High Risk Punter(Soccer)"
ACE,41649847,"Normal Member(Non-Sports)"
ACE,41807186,VIP(Soccer)
ACE,41859688,NULL
ACE,41859728,"High Risk Punter(Soccer)"
ACE,42054743,"Normal Member(Non-Sports)"
ACE,42064498,VIP(Non-Sports)
