LoginName,SubscriberName,TransTime,CreatedDate,DeviceCode,FingerprintCode,FingerprintMoreInfo,UserAgent,IP,IPID,PluginID,URL,Action,ActionResult,InvalidDevice,TransStatus,FPSTransID,Flagged,IsProcessed,TransID
QZGL0C00023,MAXBET789Y,"2021-07-18 00:32:16.2332","2021-07-18 00:00:00",381273fd310f400e86416d2fdd540615,2705c61f42a98597589029784fe3315319eaf1a2;707450a49461fa294cb3e596b900ed97,TApbgFoqyNP396LFwZe87v2hjaPKBrcGf5j+sppxjmU=,"Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36",103.199.69.144,1741112720,NULL,http://maxbet789y.Testing.Page1.com/NewHandler,login,"login -> successfully",NULL,0,NULL,2,0,2000000001
DT25DT980A2,MAXBET789Y,"2021-07-18 00:32:16.3662","2021-07-18 00:00:00",NULL,NULL,NULL,"Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Mobile Safari/537.36",27.73.9.59,457771323,NULL,http://maxbet789y.Testing.Page2.com/ProcessLogin.aspx,login,"login -> successfully",NULL,4,NULL,6,0,2000000002
2081555,W88,"2021-07-18 00:32:16.4303","2021-07-18 00:00:00",777dfb5ca06a429fa5c5945d7f18d8af,1d14b00f0c3302b4a1cc995997b3101e54438f25;4726edf4265b95193c020b56bb80e3bc,/QC0MwriBeXLLdbTAgcjHYbt2BLdRqDSQT2Fu4HE5OI=,"Mozilla/5.0 (Linux; Android 5.1.1; SM-T285) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Safari/537.36",113.185.77.51,1907969331,NULL,http://w88.Testing.Page3.com/NewHandler,login,"login -> successfully",NULL,0,NULL,2,0,2000000003
"Ra Khơi",BBIN,"2021-07-18 00:32:16.5296","2021-07-18 00:00:00",674e3712c51b464dac0aafa52db60a9b,407c42cb1c40fc351fa098d2a629b588c894bd2c;3ed325cb09fcd516ae6d5865d259be1c,TKzwo8UwYfA6M7xRVNzlIP6EL4X27tTCQrOZ3nsxPxE=,"Mozilla/5.0 (Linux; Android 10; MOA-AL20 Build/HONORMOA-AL20; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36",112.64.68.186,1883260090,NULL,http://bbin.Testing.Page4.com/NewHandler,login,"login -> successfully",NULL,8,NULL,2,0,2000000004
KE1601NGA11,MAXBET789Y,"2021-07-18 00:32:16.6626","2021-07-18 00:00:00",NULL,NULL,NULL,"Mozilla/5.0 (Linux; Android 11; SM-A715F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",27.75.186.93,457947741,NULL,http://maxbet789y.Testing.Page5.com/ProcessLogin.aspx,login,"login -> successfully",NULL,4,NULL,6,0,2000000005
S88CNxulingfei518,GAMINGSOFT,"2021-07-18 00:32:16.6955","2021-07-18 00:00:00",3716ab78fee54fdfb110dd2180b07c49,aae0a1ea2f56c6dcb6f5ecba1ff533332c6f9ab1;8b8ac5c3b87685a2c2469f64d77a2b9e,GdrQtQeVKxsxrB8o5ELU9N1tcoyW1AMNsbyYovlIdHM=,"Mozilla/5.0 (Linux; Android 8.1.0; CPH1823) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",180.249.187.120,3036265336,NULL,http://gamingsoft.Testing.Page6.com/NewHandler,login,"login -> successfully",NULL,0,NULL,2,0,2000000006
Apn1234,ITCBET,"2021-07-18 00:32:16.7874","2021-07-18 00:00:00",3aa0d3c9930b4071a2c6a15b8f6bf49e,5bee561f7f154386be642729f730ffdc74473bfe;c46705809609a6ec7262003b51458c3b,tes8blY+kiBpEeFJY6C7vaeRHQ88xJodJ5Smnwjp4JE=,"Mozilla/5.0 (Linux; U; Android 10; in-id; RMX1921 Build/QKQ1.190918.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 HeyTapBrowser/45.7.8.0.3beta",180.249.187.13,3036265229,NULL,http://itcbet.Testing.Page7.com/NewHandler,login,"login -> successfully",NULL,0,NULL,2,0,2000000007
HK8PND21QJ,MAXBET,"2021-07-18 00:32:16.8498","2021-07-18 00:00:00",NULL,NULL,NULL,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",103.27.186.148,1729870484,NULL,http://maxbet.Testing.Page8.com/ProcessLogin.aspx,login,"login -> successfully",NULL,4,NULL,6,0,2000000008
2117077,W88,"2021-07-18 00:32:16.8728","2021-07-18 00:00:00",a42f590340b14e8994379605ccace78b,840033cde2c33a62c9234be9846ca81bea7f2f66;10c48e67a034a9ddb3a8f96af6dd6b42,gogGCl88KoDjF/u53XmwPn2CAqbhQkaxCsqxwHefXbY=,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-J730G) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36",123.17.43.88,2064722776,NULL,http://w88.Testing.Page3.com/NewHandler,login,"login -> successfully",NULL,0,NULL,2,0,2000000009
ICMANSTG_10448576,HAPPY8,"2021-07-18 00:32:16.9122","2021-07-18 00:00:00",c95f3bfa03c2445b9f12c0e5c9fddf22,ed41bc978bf3a098677e210122f7bc64bf733d3f;e3fa6e3a6bbe64d49afec5521ad56949,sPzjpJUa+EXOqtswSBoHev7FZSNIvFHWkJ1aMpMrT/o=,"Mozilla/5.0 (Linux; Android 10; ASUS_I003DD) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",180.242.235.137,3035818889,NULL,http://happy8.Testing.Page9.com/NewHandler,login,"login -> successfully",NULL,0,NULL,2,0,2000000010
